nameOrig,last_step,Frequency,MonetarySum,MonetaryAvg,Recency,R_Score,F_Score,M_Score,RFM_Total,Segment
C1013292276,704,5,70417.44265820617,14083.488531641235,102,4,4,3,11,Champions (핵심 VIP)
C1013768510,379,3,517529.7916945226,172509.93056484088,427,4,4,4,12,Champions (핵심 VIP)
C1014350741,326,4,551359.0497921782,137839.76244804455,480,3,4,4,11,Champions (핵심 VIP)
C101505318,321,5,355946.16951025405,71189.23390205081,485,3,4,4,11,Champions (핵심 VIP)
C101668226,430,3,226790.0699726683,75596.68999088944,376,4,4,4,12,Champions (핵심 VIP)
C1017811960,309,5,1501907.1972353705,300381.4394470741,497,3,4,4,11,Champions (핵심 VIP)
C1019385927,427,4,958613.8868925653,239653.47172314132,379,4,4,4,12,Champions (핵심 VIP)
C1020795243,306,4,722650.7927923064,180662.6981980766,500,3,4,4,11,Champions (핵심 VIP)
C1020947183,252,3,397469.4894542602,132489.82981808673,554,3,4,4,11,Champions (핵심 VIP)
C1021260679,449,3,1204149.3286046607,401383.1095348869,357,4,4,4,12,Champions (핵심 VIP)
C1021344563,665,3,263943.0179237249,87981.00597457496,141,4,4,4,12,Champions (핵심 VIP)
C1021986578,325,4,1307056.653001191,326764.1632502978,481,3,4,4,11,Champions (핵심 VIP)
C102235010,448,3,633385.1608963902,211128.3869654634,358,4,4,4,12,Champions (핵심 VIP)
C1022430113,490,5,109225.32769262514,21845.06553852503,316,4,4,3,11,Champions (핵심 VIP)
C1022833887,307,4,10438055.30502417,2609513.8262560423,499,3,4,4,11,Champions (핵심 VIP)
C1022898430,422,3,44881.51449726531,14960.50483242177,384,4,4,3,11,Champions (핵심 VIP)
C102324971,465,5,84044.0092556596,16808.80185113192,341,4,4,3,11,Champions (핵심 VIP)
C1023807466,418,4,2197563.7769081388,549390.9442270347,388,4,4,4,12,Champions (핵심 VIP)
C1024663544,686,5,1617455.7806814897,323491.15613629797,120,4,4,4,12,Champions (핵심 VIP)
C1025846075,446,4,907971.3443773626,226992.83609434066,360,4,4,4,12,Champions (핵심 VIP)
C1027799121,450,3,45162.354608011476,15054.118202670492,356,4,4,3,11,Champions (핵심 VIP)
C1030567534,401,5,1120703.566965307,224140.71339306142,405,4,4,4,12,Champions (핵심 VIP)
C1030720613,495,5,689844.0110841445,137968.8022168289,311,4,4,4,12,Champions (핵심 VIP)
C1030945948,279,4,503004.9753595989,125751.24383989972,527,3,4,4,11,Champions (핵심 VIP)
C1030990554,276,4,1339843.3729486484,334960.8432371621,530,3,4,4,11,Champions (핵심 VIP)
C1032690345,424,3,429615.0105532715,143205.00351775717,382,4,4,4,12,Champions (핵심 VIP)
C1032758507,498,4,188923.60105947003,47230.90026486751,308,4,4,3,11,Champions (핵심 VIP)
C1033027418,427,4,84595.72465602649,21148.931164006623,379,4,4,3,11,Champions (핵심 VIP)
C1033718245,377,3,54751.92641323857,18250.642137746192,429,4,4,3,11,Champions (핵심 VIP)
C1034067842,737,3,2568677.9758457183,856225.9919485728,69,4,4,4,12,Champions (핵심 VIP)
C1034309155,377,4,969814.6326169416,242453.6581542354,429,4,4,4,12,Champions (핵심 VIP)
C103470602,329,3,933792.729394439,311264.24313147966,477,3,4,4,11,Champions (핵심 VIP)
C1035455805,764,4,177809.60843812654,44452.402109531635,42,4,4,3,11,Champions (핵심 VIP)
C1037096723,260,4,2069129.1211270636,517282.2802817659,546,3,4,4,11,Champions (핵심 VIP)
C1040351401,448,5,3850497.371112134,770099.4742224268,358,4,4,4,12,Champions (핵심 VIP)
C1040716225,253,3,717297.3307506257,239099.11025020856,553,3,4,4,11,Champions (핵심 VIP)
C1041217780,417,4,80065.80517861588,20016.45129465397,389,4,4,3,11,Champions (핵심 VIP)
C1041916256,446,4,417141.075787583,104285.26894689575,360,4,4,4,12,Champions (핵심 VIP)
C1042263481,476,5,1003781.5752357907,200756.31504715813,330,4,4,4,12,Champions (핵심 VIP)
C1043110501,637,4,1564995.9912543371,391248.9978135843,169,4,4,4,12,Champions (핵심 VIP)
C10434694,395,5,82730.71473382131,16546.142946764263,411,4,4,3,11,Champions (핵심 VIP)
C1044088316,274,3,1707799.192936325,569266.3976454417,532,3,4,4,11,Champions (핵심 VIP)
C1044617402,427,3,406555.79067394254,135518.59689131417,379,4,4,4,12,Champions (핵심 VIP)
C1044939576,258,4,803603.4855295406,200900.87138238514,548,3,4,4,11,Champions (핵심 VIP)
C1045756680,474,4,309159.8660895459,77289.96652238647,332,4,4,4,12,Champions (핵심 VIP)
C1046948252,374,3,1284677.783170963,428225.9277236543,432,4,4,4,12,Champions (핵심 VIP)
C1048755039,551,4,115523.73388087611,28880.933470219028,255,4,4,3,11,Champions (핵심 VIP)
C1049056677,321,5,901372.0452468862,180274.40904937725,485,3,4,4,11,Champions (핵심 VIP)
C1049312761,305,5,1578802.9859484173,315760.59718968347,501,3,4,4,11,Champions (핵심 VIP)
C105114772,382,4,207901.31569483894,51975.328923709734,424,4,4,4,12,Champions (핵심 VIP)
C1052664864,251,5,2809748.2856810875,561949.6571362175,555,3,4,4,11,Champions (핵심 VIP)
C1052842069,374,5,102885.08672515096,20577.01734503019,432,4,4,3,11,Champions (핵심 VIP)
C1054768841,333,4,753558.8362688228,188389.7090672057,473,3,4,4,11,Champions (핵심 VIP)
C1054928489,371,4,7643842.355903899,1910960.5889759748,435,4,4,4,12,Champions (핵심 VIP)
C105582713,418,5,50678.33645889192,10135.667291778384,388,4,4,3,11,Champions (핵심 VIP)
C1055986661,732,3,827482.9655115587,275827.65517051955,74,4,4,4,12,Champions (핵심 VIP)
C1056637982,784,5,63358.58444750763,12671.716889501526,22,4,4,3,11,Champions (핵심 VIP)
C1057096168,402,5,103235.39531273031,20647.07906254606,404,4,4,3,11,Champions (핵심 VIP)
C105742459,298,3,443656.09770781785,147885.36590260596,508,3,4,4,11,Champions (핵심 VIP)
C1057789778,347,5,44558.22006385721,8911.644012771441,459,4,4,3,11,Champions (핵심 VIP)
C1059257045,370,4,377930.7815503001,94482.69538757502,436,4,4,4,12,Champions (핵심 VIP)
C105973755,474,5,126024.8607874721,25204.97215749442,332,4,4,3,11,Champions (핵심 VIP)
C1060540400,377,3,359427.00272865803,119809.00090955268,429,4,4,4,12,Champions (핵심 VIP)
C10606030,346,5,4043625.133828333,808725.0267656667,460,3,4,4,11,Champions (핵심 VIP)
C1060607097,442,4,98595.01735255498,24648.754338138744,364,4,4,3,11,Champions (핵심 VIP)
C1061988801,302,4,4657594.713157816,1164398.678289454,504,3,4,4,11,Champions (핵심 VIP)
C1062128173,274,5,629532.5356518695,125906.5071303739,532,3,4,4,11,Champions (핵심 VIP)
C1062196922,403,4,998404.8880337451,249601.22200843628,403,4,4,4,12,Champions (핵심 VIP)
C1062860765,354,4,961498.0460592494,240374.51151481236,452,4,4,4,12,Champions (핵심 VIP)
C1063240103,421,4,53457.49684136469,13364.374210341173,385,4,4,3,11,Champions (핵심 VIP)
C1063413923,636,3,57801.366630188146,19267.122210062716,170,4,4,3,11,Champions (핵심 VIP)
C1065577601,330,5,598708.6310164435,119741.7262032887,476,3,4,4,11,Champions (핵심 VIP)
C1065728591,494,5,158937.02396621127,31787.404793242255,312,4,4,3,11,Champions (핵심 VIP)
C1065875118,370,4,755512.118205238,188878.0295513095,436,4,4,4,12,Champions (핵심 VIP)
C1066001308,422,5,145522.3011287925,29104.4602257585,384,4,4,3,11,Champions (핵심 VIP)
C106676758,405,3,430451.56691134034,143483.85563711345,401,4,4,4,12,Champions (핵심 VIP)
C1067001722,355,5,469542.94638696715,93908.58927739343,451,4,4,4,12,Champions (핵심 VIP)
C1067388135,279,5,211940.4310651048,42388.086213020964,527,3,4,4,11,Champions (핵심 VIP)
C1067639006,252,4,407376.3519913375,101844.08799783437,554,3,4,4,11,Champions (핵심 VIP)
C1068543561,449,5,10179879.00028986,2035975.8000579719,357,4,4,4,12,Champions (핵심 VIP)
C1069212365,765,3,687107.2080874047,229035.73602913492,41,4,4,4,12,Champions (핵심 VIP)
C1070133074,396,3,2257179.564251925,752393.188083975,410,4,4,4,12,Champions (핵심 VIP)
C1071115542,357,3,64881.33842593005,21627.11280864335,449,4,4,3,11,Champions (핵심 VIP)
C1071228259,345,5,777371.4583282988,155474.29166565975,461,3,4,4,11,Champions (핵심 VIP)
C1071613961,260,5,877975.7899834441,175595.15799668882,546,3,4,4,11,Champions (핵심 VIP)
C1071790559,346,3,1000440.2236451448,333480.0745483816,460,3,4,4,11,Champions (핵심 VIP)
C1071905141,259,5,735883.4787330086,147176.69574660173,547,3,4,4,11,Champions (핵심 VIP)
C1072363771,500,5,1030928.7211072257,206185.74422144514,306,4,4,4,12,Champions (핵심 VIP)
C1072957353,452,3,214865.2297430079,71621.74324766929,354,4,4,4,12,Champions (핵심 VIP)
C1073858744,428,4,1143191.0008839872,285797.7502209968,378,4,4,4,12,Champions (핵심 VIP)
C107417660,370,4,72210.37821566066,18052.594553915165,436,4,4,3,11,Champions (핵심 VIP)
C1074984302,356,4,828200.7023178028,207050.1755794507,450,4,4,4,12,Champions (핵심 VIP)
C1076873160,378,4,558908.3913394966,139727.09783487415,428,4,4,4,12,Champions (핵심 VIP)
C1077562635,282,5,1034067.3447351106,206813.46894702213,524,3,4,4,11,Champions (핵심 VIP)
C1077723951,301,4,283896.8213022379,70974.20532555948,505,3,4,4,11,Champions (핵심 VIP)
C1078059999,353,5,1735679.3558844964,347135.8711768993,453,4,4,4,12,Champions (핵심 VIP)
C1078463419,721,3,456070.44607395225,152023.48202465076,85,4,4,4,12,Champions (핵심 VIP)
C1078601865,404,4,1416624.3448445057,354156.0862111264,402,4,4,4,12,Champions (핵심 VIP)
C1078749980,380,4,709446.5223596549,177361.63058991372,426,4,4,4,12,Champions (핵심 VIP)
C1078900748,369,3,385570.9270858221,128523.6423619407,437,4,4,4,12,Champions (핵심 VIP)
C1079204673,278,3,384092.2680359216,128030.75601197388,528,3,4,4,11,Champions (핵심 VIP)
C1079322324,283,4,746226.4480320741,186556.61200801854,523,3,4,4,11,Champions (핵심 VIP)
C1079771688,303,5,736841.8141902201,147368.362838044,503,3,4,4,11,Champions (핵심 VIP)
C1080631491,379,5,262282.46347414964,52456.492694829925,427,4,4,4,12,Champions (핵심 VIP)
C1080663170,400,5,125335.58328463243,25067.116656926486,406,4,4,3,11,Champions (핵심 VIP)
C1082866573,349,3,131300.09827320738,43766.69942440246,457,4,4,3,11,Champions (핵심 VIP)
C1083389069,471,4,324861.73545602115,81215.43386400529,335,4,4,4,12,Champions (핵심 VIP)
C1083576566,427,3,169870.16905303526,56623.389684345086,379,4,4,3,11,Champions (핵심 VIP)
C1084148428,275,4,812072.2139413838,203018.05348534594,531,3,4,4,11,Champions (핵심 VIP)
C1084236375,667,5,403861.7402061495,80772.34804122991,139,4,4,4,12,Champions (핵심 VIP)
C1085170099,355,4,68440.4814494793,17110.120362369824,451,4,4,3,11,Champions (핵심 VIP)
C1085215248,376,4,38789941.06320176,9697485.26580044,430,4,4,4,12,Champions (핵심 VIP)
C1086009967,662,4,746739.7849984816,186684.9462496204,144,4,4,4,12,Champions (핵심 VIP)
C108722591,284,4,1429673.4109978557,357418.3527494639,522,3,4,4,11,Champions (핵심 VIP)
C1087290567,379,3,925660.9998397757,308553.6666132586,427,4,4,4,12,Champions (핵심 VIP)
C1089150364,322,5,1707511.6877720796,341502.3375544159,484,3,4,4,11,Champions (핵심 VIP)
C1090035338,404,5,264428.77077764564,52885.754155529125,402,4,4,4,12,Champions (핵심 VIP)
C1090773527,254,5,922006.7811695988,184401.35623391977,552,3,4,4,11,Champions (핵심 VIP)
C109300570,403,4,342469.0928712493,85617.27321781233,403,4,4,4,12,Champions (핵심 VIP)
C1093027882,426,4,361574.0944732478,90393.52361831196,380,4,4,4,12,Champions (핵심 VIP)
C1093983453,475,4,4103705.417541783,1025926.3543854457,331,4,4,4,12,Champions (핵심 VIP)
C1095743741,330,3,304196.2858708911,101398.7619569637,476,3,4,4,11,Champions (핵심 VIP)
C1098403327,324,5,612270.5273752771,122454.10547505543,482,3,4,4,11,Champions (핵심 VIP)
C109881759,350,3,104071.88081954043,34690.62693984681,456,4,4,3,11,Champions (핵심 VIP)
C1099553398,400,3,474992.8429668555,158330.9476556185,406,4,4,4,12,Champions (핵심 VIP)
C11018848,373,3,38880285.41205206,12960095.137350686,433,4,4,4,12,Champions (핵심 VIP)
C110253488,403,4,900544.5549583264,225136.1387395816,403,4,4,4,12,Champions (핵심 VIP)
C1102606426,449,5,380872.8957837329,76174.57915674658,357,4,4,4,12,Champions (핵심 VIP)
C1102610699,350,4,67285.38731331535,16821.34682832884,456,4,4,3,11,Champions (핵심 VIP)
C1103766085,379,4,816711.0579130683,204177.76447826708,427,4,4,4,12,Champions (핵심 VIP)
C1104054779,322,4,941002.5947980601,235250.64869951503,484,3,4,4,11,Champions (핵심 VIP)
C1105739792,424,4,168665.48848980787,42166.37212245197,382,4,4,3,11,Champions (핵심 VIP)
C110806775,256,5,1223031.9395223444,244606.38790446887,550,3,4,4,11,Champions (핵심 VIP)
C1108267851,445,4,1370110.1366123958,342527.53415309894,361,4,4,4,12,Champions (핵심 VIP)
C1111582892,467,4,79301.26521504574,19825.316303761436,339,4,4,3,11,Champions (핵심 VIP)
C1114750995,258,3,368124.2701823567,122708.09006078557,548,3,4,4,11,Champions (핵심 VIP)
C1114969777,475,4,126617.04039611598,31654.260099028994,331,4,4,3,11,Champions (핵심 VIP)
C1115048048,308,5,5875016.920663396,1175003.384132679,498,3,4,4,11,Champions (핵심 VIP)
C1115633733,450,5,1597518.819675526,319503.76393510523,356,4,4,4,12,Champions (핵심 VIP)
C1115937242,278,3,797809.9045910026,265936.63486366754,528,3,4,4,11,Champions (핵심 VIP)
C1116852079,262,4,1046863.2529829895,261715.81324574738,544,3,4,4,11,Champions (핵심 VIP)
C1117114274,451,5,1342604.4840637478,268520.89681274956,355,4,4,4,12,Champions (핵심 VIP)
C1117170461,499,5,60446.67573071775,12089.335146143549,307,4,4,3,11,Champions (핵심 VIP)
C1117619120,586,5,324460.659032536,64892.1318065072,220,4,4,4,12,Champions (핵심 VIP)
C1117741135,475,4,51889.829283627885,12972.457320906971,331,4,4,3,11,Champions (핵심 VIP)
C1118307708,466,5,1121474.8902987645,224294.9780597529,340,4,4,4,12,Champions (핵심 VIP)
C1118579946,448,3,404552.8929883165,134850.96432943884,358,4,4,4,12,Champions (핵심 VIP)
C1118964455,255,4,1415180.0508877984,353795.0127219496,551,3,4,4,11,Champions (핵심 VIP)
C1120227012,256,3,598827.411990131,199609.13733004368,550,3,4,4,11,Champions (핵심 VIP)
C1120250532,256,4,348064.92913509265,87016.23228377316,550,3,4,4,11,Champions (핵심 VIP)
C1120408335,473,4,902108.4901818123,225527.12254545308,333,4,4,4,12,Champions (핵심 VIP)
C1120423593,728,4,1604953.0214790856,401238.2553697714,78,4,4,4,12,Champions (핵심 VIP)
C1123486746,420,4,480364.94088839163,120091.23522209791,386,4,4,4,12,Champions (핵심 VIP)
C1124483285,322,4,344943.19045840844,86235.79761460211,484,3,4,4,11,Champions (핵심 VIP)
C1125167217,498,5,339900.3207323819,67980.06414647638,308,4,4,4,12,Champions (핵심 VIP)
C1125321967,260,4,544665.7268679257,136166.43171698143,546,3,4,4,11,Champions (핵심 VIP)
C1126570499,324,3,291615.0464995917,97205.0154998639,482,3,4,4,11,Champions (핵심 VIP)
C1127157918,396,3,534907.7911723321,178302.59705744404,410,4,4,4,12,Champions (핵심 VIP)
C1127323012,661,4,1403583.6957984504,350895.9239496126,145,4,4,4,12,Champions (핵심 VIP)
C1127637275,260,4,284400.4670178973,71100.11675447432,546,3,4,4,11,Champions (핵심 VIP)
C1128627300,524,3,75138.55811813188,25046.186039377295,282,4,4,3,11,Champions (핵심 VIP)
C1129446404,784,5,101528.96617479507,20305.793234959016,22,4,4,3,11,Champions (핵심 VIP)
C1131788370,492,5,891718.519761449,178343.7039522898,314,4,4,4,12,Champions (핵심 VIP)
C1131884196,662,3,8153284.499676044,2717761.4998920145,144,4,4,4,12,Champions (핵심 VIP)
C1133334118,452,5,126484.7811796722,25296.956235934438,354,4,4,3,11,Champions (핵심 VIP)
C1133693805,351,5,1292048.2564774738,258409.65129549475,455,4,4,4,12,Champions (핵심 VIP)
C1133848041,347,5,657434.4841247114,131486.89682494226,459,4,4,4,12,Champions (핵심 VIP)
C1134480804,402,5,1111040.4855436655,222208.09710873308,404,4,4,4,12,Champions (핵심 VIP)
C1135318447,398,3,458363.33092006965,152787.77697335655,408,4,4,4,12,Champions (핵심 VIP)
C1135389128,276,5,1872502.149125371,374500.42982507416,530,3,4,4,11,Champions (핵심 VIP)
C1135830709,397,3,571387.500377955,190462.500125985,409,4,4,4,12,Champions (핵심 VIP)
C1136210936,373,4,95910.6535549243,23977.663388731075,433,4,4,3,11,Champions (핵심 VIP)
C113647058,471,5,480530.3283352234,96106.06566704469,335,4,4,4,12,Champions (핵심 VIP)
C1137073375,421,5,298322.61747352034,59664.523494704066,385,4,4,4,12,Champions (핵심 VIP)
C1139957639,353,4,1040182.1641266999,260045.54103167498,453,4,4,4,12,Champions (핵심 VIP)
C1140450589,715,5,896642.3722329055,179328.4744465811,91,4,4,4,12,Champions (핵심 VIP)
C1141334373,283,3,531997.4964109302,177332.4988036434,523,3,4,4,11,Champions (핵심 VIP)
C1141392515,423,3,377527.68600125366,125842.56200041789,383,4,4,4,12,Champions (핵심 VIP)
C11424499,469,4,8291089.1694769645,2072772.2923692411,337,4,4,4,12,Champions (핵심 VIP)
C1142680071,252,4,578194.1321883764,144548.5330470941,554,3,4,4,11,Champions (핵심 VIP)
C1142845573,418,3,45752.11156990606,15250.703856635353,388,4,4,3,11,Champions (핵심 VIP)
C1142973891,377,5,674614.1175573445,134922.8235114689,429,4,4,4,12,Champions (핵심 VIP)
C1143122683,383,3,1290546.266405247,430182.088801749,423,4,4,4,12,Champions (핵심 VIP)
C1143980467,349,3,155709.6802805095,51903.22676016983,457,4,4,3,11,Champions (핵심 VIP)
C1145167904,476,5,856656.4066933324,171331.28133866648,330,4,4,4,12,Champions (핵심 VIP)
C1145930545,251,4,322566.9807934844,80641.7451983711,555,3,4,4,11,Champions (핵심 VIP)
C114694285,685,3,862221.5215988294,287407.17386627645,121,4,4,4,12,Champions (핵심 VIP)
C1149054314,311,3,527435.7923410339,175811.93078034464,495,3,4,4,11,Champions (핵심 VIP)
C1149845186,497,5,766284.4189515162,153256.88379030323,309,4,4,4,12,Champions (핵심 VIP)
C115066348,283,4,221141.9597448512,55285.4899362128,523,3,4,4,11,Champions (핵심 VIP)
C1151018321,422,5,74019.60106501244,14803.920213002488,384,4,4,3,11,Champions (핵심 VIP)
C1153398966,476,5,82089.87618119236,16417.97523623847,330,4,4,3,11,Champions (핵심 VIP)
C115486696,336,5,476153.9581548375,95230.79163096749,470,3,4,4,11,Champions (핵심 VIP)
C1155016341,306,3,1232630.2757851088,410876.7585950363,500,3,4,4,11,Champions (핵심 VIP)
C1155382936,734,3,64160.10978415732,21386.703261385774,72,4,4,3,11,Champions (핵심 VIP)
C115633836,282,5,538731.8168464155,107746.3633692831,524,3,4,4,11,Champions (핵심 VIP)
C1156785548,423,4,1237274.9429736293,309318.73574340733,383,4,4,4,12,Champions (핵심 VIP)
C115793781,456,5,46001.92809310536,9200.385618621072,350,4,4,3,11,Champions (핵심 VIP)
C1158988091,328,4,1659157.8260433502,414789.45651083754,478,3,4,4,11,Champions (핵심 VIP)
C1159458205,259,3,359482.13862138486,119827.37954046162,547,3,4,4,11,Champions (핵심 VIP)
C1159612322,660,4,97110.01552769874,24277.503881924684,146,4,4,3,11,Champions (핵심 VIP)
C116054440,637,3,293165.80076439306,97721.93358813103,169,4,4,4,12,Champions (핵심 VIP)
C1160563275,346,4,311987.4388727903,77996.85971819758,460,3,4,4,11,Champions (핵심 VIP)
C1161272957,396,4,389927.5687987802,97481.89219969505,410,4,4,4,12,Champions (핵심 VIP)
C1162381005,359,3,48053.47728057173,16017.825760190577,447,4,4,3,11,Champions (핵심 VIP)
C1162490198,332,3,612840.8256462849,204280.2752154283,474,3,4,4,11,Champions (핵심 VIP)
C1163159052,466,4,1481218.130503798,370304.5326259495,340,4,4,4,12,Champions (핵심 VIP)
C1164493674,470,4,240060.07382451845,60015.01845612961,336,4,4,4,12,Champions (핵심 VIP)
C1164735194,379,4,5217586.2371403985,1304396.5592850996,427,4,4,4,12,Champions (핵심 VIP)
C1165582924,465,5,512294.10265077284,102458.82053015457,341,4,4,4,12,Champions (핵심 VIP)
C1165610727,465,5,108169.29997264924,21633.85999452985,341,4,4,3,11,Champions (핵심 VIP)
C1167566789,373,4,867367.5333254396,216841.8833313599,433,4,4,4,12,Champions (핵심 VIP)
C1168268995,451,4,87884.12620903482,21971.031552258704,355,4,4,3,11,Champions (핵심 VIP)
C1168582208,372,5,1683398.2457656984,336679.6491531397,434,4,4,4,12,Champions (핵심 VIP)
C1169290959,369,5,581194.9939696412,116238.99879392823,437,4,4,4,12,Champions (핵심 VIP)
C1170294244,297,3,325287.07206950587,108429.02402316862,509,3,4,4,11,Champions (핵심 VIP)
C1170915230,360,3,610087.8920617381,203362.630687246,446,4,4,4,12,Champions (핵심 VIP)
C1171619654,568,3,51506.755436586755,17168.91847886225,238,4,4,3,11,Champions (핵심 VIP)
C117184834,425,4,787767.5254618607,196941.88136546517,381,4,4,4,12,Champions (핵심 VIP)
C1172157637,300,3,245326.44861468047,81775.48287156016,506,3,4,4,11,Champions (핵심 VIP)
C1172847433,332,5,236462.27748936275,47292.45549787255,474,3,4,4,11,Champions (핵심 VIP)
C1173079688,431,3,859012.7682856511,286337.5894285504,375,4,4,4,12,Champions (핵심 VIP)
C1173318545,449,3,296247.96268163173,98749.32089387724,357,4,4,4,12,Champions (핵심 VIP)
C1174370431,356,5,447293.11973506154,89458.62394701231,450,4,4,4,12,Champions (핵심 VIP)
C1174576897,479,4,144945.0670103248,36236.2667525812,327,4,4,3,11,Champions (핵심 VIP)
C1175615453,299,3,763124.8700075205,254374.95666917352,507,3,4,4,11,Champions (핵심 VIP)
C1175829100,614,4,806187.7914040891,201546.94785102227,192,4,4,4,12,Champions (핵심 VIP)
C1175950596,376,3,470375.3720050979,156791.79066836598,430,4,4,4,12,Champions (핵심 VIP)
C1176880537,355,3,560905.8787558258,186968.62625194193,451,4,4,4,12,Champions (핵심 VIP)
C1177767785,452,3,361657.8856587837,120552.62855292791,354,4,4,4,12,Champions (핵심 VIP)
C1179227416,475,5,742250.5506333703,148450.11012667406,331,4,4,4,12,Champions (핵심 VIP)
C1181232288,355,3,82246.71877964897,27415.57292654966,451,4,4,3,11,Champions (핵심 VIP)
C1181360500,383,4,425274.36388804205,106318.59097201051,423,4,4,4,12,Champions (핵심 VIP)
C1183064491,498,5,1243851.5067297753,248770.30134595506,308,4,4,4,12,Champions (핵심 VIP)
C1185218442,446,5,353152.50431724463,70630.50086344892,360,4,4,4,12,Champions (핵심 VIP)
C1185296056,346,3,907419.6525775038,302473.2175258346,460,3,4,4,11,Champions (핵심 VIP)
C1189130850,456,3,478577.6838454918,159525.89461516394,350,4,4,4,12,Champions (핵심 VIP)
C1190590502,478,5,261163.46377659938,52232.69275531988,328,4,4,4,12,Champions (핵심 VIP)
C1193506185,449,5,1296947.7594229777,259389.55188459554,357,4,4,4,12,Champions (핵심 VIP)
C1195074744,620,4,330819.3074430286,82704.82686075715,186,4,4,4,12,Champions (핵심 VIP)
C119532278,541,4,657498.6913788461,164374.67284471152,265,4,4,4,12,Champions (핵심 VIP)
C1196250376,400,3,1648315.4791481083,549438.4930493694,406,4,4,4,12,Champions (핵심 VIP)
C1197556839,426,4,934980.146217529,233745.03655438224,380,4,4,4,12,Champions (핵심 VIP)
C1198033300,467,4,206471.4818924965,51617.87047312412,339,4,4,4,12,Champions (핵심 VIP)
C119822241,352,5,70140.80248108174,14028.16049621635,454,4,4,3,11,Champions (핵심 VIP)
C1198454925,494,5,107711.09721091003,21542.219442182006,312,4,4,3,11,Champions (핵심 VIP)
C1198852453,570,3,416086.04478491115,138695.34826163706,236,4,4,4,12,Champions (핵심 VIP)
C1199057065,451,3,57812.15901896711,19270.71967298904,355,4,4,3,11,Champions (핵심 VIP)
C1199999924,422,3,1500661.8648430353,500220.6216143451,384,4,4,4,12,Champions (핵심 VIP)
C1200203022,430,3,352258.7944850557,117419.59816168524,376,4,4,4,12,Champions (핵심 VIP)
C1200341884,450,4,97295.04122963615,24323.760307409037,356,4,4,3,11,Champions (핵심 VIP)
C1203827991,323,3,501246.3444641944,167082.11482139814,483,3,4,4,11,Champions (핵심 VIP)
C1204003781,350,4,596623.4223402177,149155.85558505444,456,4,4,4,12,Champions (핵심 VIP)
C1205735197,375,5,80468.72932082086,16093.745864164172,431,4,4,3,11,Champions (핵심 VIP)
C1206377872,278,5,8115587.5229617,1623117.50459234,528,3,4,4,11,Champions (핵심 VIP)
C120698431,297,3,942691.9815765584,314230.66052551946,509,3,4,4,11,Champions (핵심 VIP)
C1207745322,784,5,512455.82171911665,102491.16434382333,22,4,4,4,12,Champions (핵심 VIP)
C1208067751,441,3,119095.33734913188,39698.44578304396,365,4,4,3,11,Champions (핵심 VIP)
C1208087420,688,5,333399.6319596561,66679.92639193122,118,4,4,4,12,Champions (핵심 VIP)
C120893436,254,4,2560671.547731714,640167.8869329285,552,3,4,4,11,Champions (핵심 VIP)
C1209190797,260,3,383623.8852632604,127874.6284210868,546,3,4,4,11,Champions (핵심 VIP)
