nameOrig,last_step,Frequency,MonetarySum,MonetaryAvg,Recency
C1000759563,184,1,255808.35,255808.35,622
C1000765041,526,1,18341.95,18341.95,280
C1000765515,129,1,157782.74,157782.74,677
C1000772154,17,0,0.0,0.0,789
C1000785873,264,1,184866.42,184866.42,542
C1000834747,177,1,117562.61,117562.61,629
C1000840969,187,1,146347.79,146347.79,619
C1000841588,354,1,100262.79,100262.79,452
C1000870278,34,0,0.0,0.0,772
C1000877613,189,1,6129.59,6129.59,617
C1000913608,395,1,3614.57,3614.57,411
C100091587,353,1,11551.28,11551.28,453
C1000921451,325,1,308444.57,308444.57,481
C1000947901,236,1,29929.79,29929.79,570
C1000954529,187,1,61998.48,61998.48,619
C1000963785,10,0,0.0,0.0,796
C1001000502,18,0,0.0,0.0,788
C1001011973,352,1,406422.47,406422.47,454
C1001014396,46,0,0.0,0.0,760
C1001064466,138,1,49421.26,49421.26,668
C1001077536,211,1,60015.99,60015.99,595
C1001090469,138,1,37308.71,37308.71,668
C1001114133,228,1,467146.78,467146.78,578
C1001116284,525,1,163419.72,163419.72,281
C1001116800,596,1,146460.66,146460.66,210
C1001133936,274,1,90581.19,90581.19,532
C1001145295,180,1,1523.66,1523.66,626
C1001184846,185,1,14243.9,14243.9,621
C1001191541,235,1,51431.09,51431.09,571
C1001193407,41,0,0.0,0.0,765
C1001194964,158,1,227481.17,227481.17,648
C1001217145,13,0,0.0,0.0,793
C1001218011,398,1,14014.77,14014.77,408
C1001220236,466,5,303355.8123766104,60671.16247532208,340
C1001250609,329,1,24683.09,24683.09,477
C1001251791,135,1,132749.41,132749.41,671
C100126135,183,1,208441.46,208441.46,623
C1001273331,298,1,123502.71,123502.71,508
C1001285801,522,1,85920.98,85920.98,284
C1001286999,15,0,0.0,0.0,791
C1001305128,375,1,47290.62,47290.62,431
C1001316808,500,1,356757.66,356757.66,306
C1001319927,18,0,0.0,0.0,788
C1001330692,372,1,34141.6,34141.6,434
C1001431086,307,1,764786.67,764786.67,499
C1001439658,274,1,5379.45,5379.45,532
C1001445543,160,1,43007.2,43007.2,646
C1001472871,258,1,172670.9,172670.9,548
C1001500139,352,1,288039.5,288039.5,454
C1001500343,354,1,23890.49,23890.49,452
C100154344,234,1,10833.71,10833.71,572
C1001547790,8,0,0.0,0.0,798
C1001556833,279,1,46426.75,46426.75,527
C100155923,374,1,16466.53,16466.53,432
C1001585223,546,1,171533.72,171533.72,260
C100159121,206,1,450.45,450.45,600
C1001625633,188,1,285030.81,285030.81,618
C1001657291,370,1,549164.37,549164.37,436
C1001670536,275,1,452050.98,452050.98,531
C1001689448,399,1,517323.06,517323.06,407
C100171384,258,1,134122.91,134122.91,548
C1001722206,227,1,254070.19,254070.19,579
C1001727519,495,1,293414.88,293414.88,311
C1001748581,12,0,0.0,0.0,794
C1001752020,240,1,127013.04,127013.04,566
C1001755813,234,1,12393.08,12393.08,572
C100176122,323,1,345566.62,345566.62,483
C1001774859,230,1,2166.35,2166.35,576
C1001783843,321,1,120700.1,120700.1,485
C1001790241,163,1,96163.83,96163.83,643
C1001797522,42,0,0.0,0.0,764
C1001822857,307,1,17524.01,17524.01,499
C100182774,478,1,17194.25,17194.25,328
C1001828041,14,0,0.0,0.0,792
C1001844870,302,1,171433.87,171433.87,504
C1001859251,303,1,266351.74,266351.74,503
C1001860569,130,1,132188.56,132188.56,676
C1001902112,253,1,25979.23,25979.23,553
C1001915798,186,1,8648.72,8648.72,620
C1001960440,16,0,0.0,0.0,790
C1001986179,189,1,6124.47,6124.47,617
C1001989608,301,1,15948.02,15948.02,505
C1001991700,259,1,148348.29,148348.29,547
C1001997798,279,1,360824.25,360824.25,527
C1002009017,140,4,444668.2418335349,111167.06045838373,666
C1002027328,282,1,4341.59,4341.59,524
C1002038206,44,0,0.0,0.0,762
C1002056338,215,1,8575.2,8575.2,591
C1002062228,40,0,0.0,0.0,766
C1002072120,350,1,279325.16,279325.16,456
C1002079187,140,1,119043.54,119043.54,666
C1002122918,280,1,7150.12,7150.12,526
C1002135569,211,1,394169.64,394169.64,595
C1002153719,350,1,41335.14,41335.14,456
C100215511,380,1,974168.67,974168.67,426
C1002158249,379,1,23866.83,23866.83,427
C1002187237,328,1,439719.02,439719.02,478
C1002213794,356,1,10439.51,10439.51,450
C1002216246,142,1,43544.37,43544.37,664
C1002230731,186,1,98261.61,98261.61,620
C100226328,163,1,173176.37,173176.37,643
C1002264229,350,5,536596.4910407796,107319.29820815593,456
C1002264987,34,0,0.0,0.0,772
C1002270002,163,1,46488.79,46488.79,643
C1002304229,36,0,0.0,0.0,770
C1002320209,39,0,0.0,0.0,767
C1002320727,376,1,9997.72,9997.72,430
C1002328299,235,1,1296892.47,1296892.47,571
C1002353493,400,1,45586.41,45586.41,406
C100235852,305,1,61833.93,61833.93,501
C1002362354,377,1,11565.23,11565.23,429
C1002406385,687,1,145101.65,145101.65,119
C1002418797,403,5,432229.228343922,86445.8456687844,403
C100243332,303,4,773970.5657306082,193492.64143265205,503
C1002450825,398,1,18054.74,18054.74,408
C1002461090,256,1,16770.2,16770.2,550
C1002463654,375,1,92423.51,92423.51,431
C1002475368,23,0,0.0,0.0,783
C1002483075,281,1,54355.44,54355.44,525
C1002494115,301,1,279984.37,279984.37,505
C1002506807,351,1,642.81,642.81,455
C1002529362,211,1,44850.0,44850.0,595
C1002544507,335,1,8918.58,8918.58,471
C1002586796,374,1,133990.68,133990.68,432
C1002591243,545,1,31515.87,31515.87,261
C1002614722,159,1,141158.4,141158.4,647
C1002638409,201,1,190530.58,190530.58,605
C1002667449,237,1,3455.81,3455.81,569
C1002673084,403,1,63794.29,63794.29,403
C1002687472,214,1,7235.14,7235.14,592
C1002716109,355,1,1690689.55,1690689.55,451
C1002738159,325,1,5635.57,5635.57,481
C1002788062,301,1,175394.76,175394.76,505
C1002813994,378,1,111467.45,111467.45,428
C1002851506,36,0,0.0,0.0,770
C1002852654,376,1,36690.46,36690.46,430
C1002864618,137,1,37505.55,37505.55,669
C100290337,324,1,29329.92,29329.92,482
C1002968885,45,0,0.0,0.0,761
C1002970842,202,1,182.56,182.56,604
C1002970970,231,1,98222.07,98222.07,575
C1002976026,143,1,7959.68,7959.68,663
C1002977540,400,1,32958.07,32958.07,406
C1002998850,370,1,2175.4,2175.4,436
C1003001741,691,1,340501.21,340501.21,115
C1003002862,403,1,186627.9,186627.9,403
C100301497,333,1,1761689.74,1761689.74,473
C1003036327,260,1,75859.71,75859.71,546
C100308651,260,1,36858.38,36858.38,546
C1003109869,186,1,42566.91,42566.91,620
C100310996,12,0,0.0,0.0,794
C1003128604,202,1,6281.93,6281.93,604
C1003159535,46,0,0.0,0.0,760
C1003176657,276,3,59561.51797980323,19853.83932660108,530
C1003187286,418,4,531939.051125073,132984.76278126825,388
C100320321,206,1,135319.49,135319.49,600
C1003211025,274,4,1112.8945367940642,278.22363419851604,532
C1003245738,374,1,4125.02,4125.02,432
C1003278389,209,1,7862.33,7862.33,597
C100332941,395,1,267670.35,267670.35,411
C1003351151,328,1,44447.87,44447.87,478
C1003366793,154,1,363537.95,363537.95,652
C1003378843,182,1,19545.47,19545.47,624
C1003447428,329,1,14040.34,14040.34,477
C1003454491,228,1,2139.35,2139.35,578
C1003484144,261,1,157232.44,157232.44,545
C1003490007,259,1,2087.96,2087.96,547
C10035010,20,0,0.0,0.0,786
C1003526425,306,1,172113.68,172113.68,500
C1003538643,352,1,14560.28,14560.28,454
C1003548078,263,1,7015.26,7015.26,543
C1003607199,589,1,35191.26,35191.26,217
C1003616118,260,1,461765.16,461765.16,546
C1003624922,179,1,307054.92,307054.92,627
C1003652546,16,0,0.0,0.0,790
C1003690890,372,1,394051.11,394051.11,434
C1003778529,13,0,0.0,0.0,793
C1003809685,280,1,31370.08,31370.08,526
C100381963,405,1,102098.3,102098.3,401
C100383617,35,0,0.0,0.0,771
C1003856085,359,1,12723.93,12723.93,447
C1003864966,258,1,8675.73,8675.73,548
C1003870563,207,1,13470.32,13470.32,599
C100388272,185,1,2317426.38,2317426.38,621
C1003902725,180,1,4995.82,4995.82,626
C1003921980,183,1,252207.45,252207.45,623
C1003936678,206,1,4602.69,4602.69,600
C100395345,280,1,229674.48,229674.48,526
C1004000110,13,0,0.0,0.0,793
C1004001554,331,1,42696.52,42696.52,475
C1004020845,260,1,199008.44,199008.44,546
C100407523,137,1,14768.12,14768.12,669
C1004076018,286,1,113366.7,113366.7,520
C1004118840,335,1,28863.11,28863.11,471
C1004140392,303,1,147045.42,147045.42,503
C1004141429,354,1,8869.48,8869.48,452
C1004145508,167,1,18798.91,18798.91,639
C1004161980,161,1,23898.81,23898.81,645
C1004203106,274,1,4096.48,4096.48,532
C1004217471,188,1,31138.7,31138.7,618
C1004295532,562,3,50703.120354919636,16901.040118306544,244
C1004299119,383,1,6180.72,6180.72,423
C1004307796,283,1,291299.04,291299.04,523
C1004323901,157,1,266394.71,266394.71,649
C1004328611,347,1,37842.43,37842.43,459
C1004336643,20,0,0.0,0.0,786
C100440127,156,1,249336.77,249336.77,650
C10044085,227,1,29584.86,29584.86,579
C1004455679,138,1,118525.92,118525.92,668
C1004468840,332,1,167800.92,167800.92,474
C1004488321,156,1,29440.91,29440.91,650
C1004496328,299,1,24790.52,24790.52,507
C1004512949,278,1,109254.28,109254.28,528
C1004533610,251,1,81205.75,81205.75,555
C1004557997,399,1,2291830.27,2291830.27,407
C1004562219,333,3,423291.7019583393,141097.2339861131,473
C1004601975,285,1,6212.83,6212.83,521
C1004615972,157,1,87088.85,87088.85,649
C1004618919,327,1,269423.6,269423.6,479
C1004629773,347,1,17907.19,17907.19,459
C1004637807,44,0,0.0,0.0,762
C1004638077,38,0,0.0,0.0,768
C1004790682,234,4,39463.79504434258,9865.948761085645,572
C1004812597,18,0,0.0,0.0,788
C100482907,209,1,282134.34,282134.34,597
C1004832859,283,1,120132.75,120132.75,523
C1004860476,353,1,26442.94,26442.94,453
C1004876011,34,0,0.0,0.0,772
C1004890151,323,1,949025.55,949025.55,483
C1004892400,140,1,7259.93,7259.93,666
C100489945,231,1,205861.78,205861.78,575
C1004900779,570,1,75698.74,75698.74,236
C1004930558,13,0,0.0,0.0,793
C1004951029,154,1,1007313.94,1007313.94,652
C1004987599,330,1,263035.75,263035.75,476
C1005003938,308,1,88333.95,88333.95,498
C1005022053,283,3,23953.431777757352,7984.4772592524505,523
C1005044207,209,1,592590.8,592590.8,597
C1005047050,35,0,0.0,0.0,771
C1005063886,101,2,4250.662171246591,2125.3310856232956,705
C1005070958,229,1,177285.82,177285.82,577
C1005123427,283,1,19218.16,19218.16,523
C1005144493,131,1,4697.99,4697.99,675
C1005172698,10,0,0.0,0.0,796
C1005219304,235,1,153898.52,153898.52,571
C1005268130,210,1,1355831.7,1355831.7,596
C1005279957,305,1,144873.86,144873.86,501
C1005296496,187,1,1102.46,1102.46,619
C1005298100,395,1,291359.09,291359.09,411
C1005300322,357,1,57056.39,57056.39,449
C1005304715,37,0,0.0,0.0,769
C1005308821,16,0,0.0,0.0,790
C10053117,135,1,496798.65,496798.65,671
C1005328076,276,1,2142.63,2142.63,530
C1005334245,570,3,35034.561461868856,11678.187153956285,236
C1005341571,327,1,162178.98,162178.98,479
C1005404378,255,1,316053.85,316053.85,551
C1005429316,18,0,0.0,0.0,788
C1005437046,252,1,148917.55,148917.55,554
C1005459222,205,1,97407.56,97407.56,601
C1005474518,19,0,0.0,0.0,787
C1005496060,44,0,0.0,0.0,762
C1005521339,186,1,643509.95,643509.95,620
C100557073,325,1,12002.87,12002.87,481
C1005587372,14,0,0.0,0.0,792
C1005587780,327,1,281878.3,281878.3,479
C1005645902,210,1,4893.58,4893.58,596
C1005678754,190,1,9860.42,9860.42,616
C1005681532,330,3,446903.17484386143,148967.7249479538,476
C1005706797,136,1,79645.84,79645.84,670
C1005714924,181,1,18179.43,18179.43,625
C1005729301,14,0,0.0,0.0,792
C1005751342,109,2,1110863.8949971374,555431.9474985687,697
C1005758880,540,1,103159.86,103159.86,266
C1005766037,20,0,0.0,0.0,786
C1005774807,255,4,1086708.3407798335,271677.0851949584,551
C1005792961,187,1,10726.49,10726.49,619
C1005826108,253,1,176884.99,176884.99,553
C1005839342,330,1,12337.75,12337.75,476
C1005839430,43,0,0.0,0.0,763
C1005891074,260,1,3723.77,3723.77,546
C1005892064,349,1,129055.66,129055.66,457
C1005911731,161,1,119871.08,119871.08,645
C1005947500,42,0,0.0,0.0,764
C1005962323,41,0,0.0,0.0,765
C1005969803,254,1,317831.59,317831.59,552
C1005982303,300,1,19276.67,19276.67,506
C1006043814,276,1,99681.6,99681.6,530
C1006067408,396,1,5809.1,5809.1,410
C1006101601,406,1,12679.2,12679.2,400
C1006108673,490,1,8408.19,8408.19,316
C1006136997,691,1,287102.79,287102.79,115
C1006149418,382,1,72105.17,72105.17,424
C1006155444,167,1,37162.8,37162.8,639
C1006165948,382,1,16716.85,16716.85,424
C1006172069,18,0,0.0,0.0,788
C1006206791,355,1,9834.8,9834.8,451
C1006241652,207,1,73425.11,73425.11,599
C1006243683,303,1,194473.57,194473.57,503
C1006332521,300,1,16086.58,16086.58,506
C1006337841,324,1,264277.34,264277.34,482
C1006340251,552,1,23830.03,23830.03,254
C1006341310,323,1,33747.51,33747.51,483
C1006475867,346,1,32488.88,32488.88,460
C1006504360,322,1,133762.28,133762.28,484
C1006513277,347,1,22023.56,22023.56,459
C1006534704,356,5,134651.37799753682,26930.275599507364,450
C1006541264,226,1,7001.82,7001.82,580
C1006562134,259,1,7193.55,7193.55,547
C1006567515,540,1,160232.13,160232.13,266
C1006574057,182,1,45039.4,45039.4,624
C1006608697,188,1,246824.81,246824.81,618
C1006631831,299,1,14862.24,14862.24,507
C1006631920,451,3,417083.36827553256,139027.78942517753,355
C1006634012,239,1,88931.17,88931.17,567
C1006659861,13,0,0.0,0.0,793
C1006660441,209,1,145626.61,145626.61,597
C1006682786,379,1,116581.33,116581.33,427
C1006692023,39,0,0.0,0.0,767
C1006713274,549,1,96528.58,96528.58,257
C1006736612,17,0,0.0,0.0,789
C1006759468,214,1,95990.81,95990.81,592
C100679733,262,1,167255.23,167255.23,544
C1006803168,237,1,993.01,993.01,569
C1006807152,324,1,196878.2,196878.2,482
C1006843913,393,1,6472.92,6472.92,413
C1006845479,469,1,156228.52,156228.52,337
C100686363,311,1,203576.54,203576.54,495
C1006880837,426,1,90574.55,90574.55,380
C1006931769,260,1,19452.02,19452.02,546
C1006936536,311,1,565.68,565.68,495
C1007001624,250,1,1523.96,1523.96,556
C1007011468,404,1,11371.99,11371.99,402
C1007012962,263,1,6724.44,6724.44,543
C1007023517,262,1,118188.6,118188.6,544
C1007041706,186,1,242127.61,242127.61,620
C1007058167,284,1,14123.5,14123.5,522
C1007098750,592,1,238086.46,238086.46,214
C100716558,305,1,55402.4,55402.4,501
C1007170336,130,1,15765.24,15765.24,676
C1007173686,394,1,102464.17,102464.17,412
C1007197782,370,1,12522.91,12522.91,436
C1007228912,156,1,15192.05,15192.05,650
C1007238761,346,1,247098.59,247098.59,460
C1007242540,298,1,15343.78,15343.78,508
C1007276044,322,1,157899.75,157899.75,484
C1007302799,203,1,186512.67,186512.67,603
C1007336456,287,1,272840.91,272840.91,519
C1007362134,564,4,12520.887523495327,3130.2218808738317,242
C1007397961,468,4,1430508.5565383637,357627.1391345909,338
C1007400187,357,1,64369.92,64369.92,449
C1007420664,142,1,17734.66,17734.66,664
C1007420702,166,1,102041.72,102041.72,640
C1007450530,330,3,10304.202658605722,3434.7342195352408,476
C1007465946,181,1,165729.53,165729.53,625
C1007489783,131,1,83531.88,83531.88,675
C1007503567,132,1,162929.46,162929.46,674
C1007506899,274,1,11227.4,11227.4,532
C1007525602,667,1,104642.14,104642.14,139
C1007535490,403,1,2789.53,2789.53,403
C1007542619,334,1,1234.11,1234.11,472
C100755518,373,1,112485.81,112485.81,433
C1007561845,159,1,225299.95,225299.95,647
C1007615253,136,1,234629.99,234629.99,670
C1007621642,133,1,39454.21,39454.21,673
C1007643992,354,1,296064.34,296064.34,452
C1007656432,234,5,314626.80759532173,62925.36151906435,572
C1007693321,349,1,399105.28,399105.28,457
C1007694411,326,1,130082.53,130082.53,480
C1007695701,273,1,240239.72,240239.72,533
C1007700105,379,1,80471.15,80471.15,427
C1007737234,301,1,8487.45,8487.45,505
C1007789970,281,1,139301.27,139301.27,525
C1007802950,204,4,999663.3490058156,249915.8372514539,602
C1007808672,612,1,1304.21,1304.21,194
C1007819705,304,1,26664.46,26664.46,502
C1007825194,276,1,194.01,194.01,530
C1007868043,324,1,529439.03,529439.03,482
C1007876144,400,1,7314.44,7314.44,406
C100788103,325,1,100213.02,100213.02,481
C100788582,179,1,340674.45,340674.45,627
C1007910530,350,1,3148.33,3148.33,456
C1007925536,38,0,0.0,0.0,768
C1007949175,38,0,0.0,0.0,768
C1007951748,226,1,58092.0,58092.0,580
C1007988812,257,1,16858.32,16858.32,549
C1007993601,426,1,332288.55,332288.55,380
C1008070623,36,0,0.0,0.0,770
C1008085943,188,1,3571.47,3571.47,618
C100812550,285,1,216360.83,216360.83,521
C1008144662,235,1,11686.24,11686.24,571
C1008216410,401,1,12731.07,12731.07,405
C1008266877,188,1,272187.92,272187.92,618
C1008299944,522,1,307733.82,307733.82,284
C1008307191,304,1,98845.01,98845.01,502
C1008349726,235,1,344559.85,344559.85,571
C1008356046,137,1,5331.06,5331.06,669
C1008358423,617,1,7626.6,7626.6,189
C1008358475,36,0,0.0,0.0,770
C1008382649,20,0,0.0,0.0,786
C1008394713,585,1,85032.46,85032.46,221
C1008442633,347,1,106407.72,106407.72,459
C1008466254,157,1,201559.42,201559.42,649
C1008481595,253,1,289829.57,289829.57,553
C100849493,327,1,20929.61,20929.61,479
C1008499354,284,1,102708.04,102708.04,522
C1008507978,351,1,13907.04,13907.04,455
C1008538185,348,1,119993.74,119993.74,458
C100854381,179,1,25496.96,25496.96,627
C1008555169,202,1,293878.94,293878.94,604
C1008562721,235,1,66237.47,66237.47,571
C1008574521,308,1,493029.63,493029.63,498
C1008579696,310,1,14680.18,14680.18,496
C1008582344,208,1,11136.17,11136.17,598
C1008605102,208,1,919.91,919.91,598
C1008610483,228,1,43428.5,43428.5,578
C1008670542,231,1,198951.81,198951.81,575
C1008682622,397,1,33135.42,33135.42,409
C1008683779,249,1,124897.65,124897.65,557
C1008684947,207,1,2397.78,2397.78,599
C1008692583,133,1,171643.95,171643.95,673
C1008693859,256,1,132233.07,132233.07,550
C1008701290,130,1,275460.44,275460.44,676
C1008744601,256,1,1516.32,1516.32,550
C1008754049,669,1,282430.66,282430.66,137
C1008777610,201,1,4052.65,4052.65,605
C1008841440,306,1,349747.42,349747.42,500
C1008850787,325,1,33849.9,33849.9,481
C1008852413,379,1,110312.96,110312.96,427
C1008858072,308,1,19234.61,19234.61,498
C1008880208,373,1,4769.77,4769.77,433
C1008903248,24,0,0.0,0.0,782
C1008956070,397,1,119422.19,119422.19,409
C1008989145,138,1,66729.72,66729.72,668
C1008997382,12,0,0.0,0.0,794
C100900570,43,0,0.0,0.0,763
C10090353,183,1,408669.16,408669.16,623
C1009039935,404,3,135250.7422475434,45083.580749181136,402
C1009070471,282,1,42138.47,42138.47,524
C1009099811,37,0,0.0,0.0,769
C100910731,514,1,314908.78,314908.78,292
C1009113981,401,1,581944.1,581944.1,405
C1009125498,500,1,161081.51,161081.51,306
C1009140228,349,1,181282.35,181282.35,457
C1009148076,184,1,102998.17,102998.17,622
C1009192782,13,0,0.0,0.0,793
C1009234066,228,1,123903.89,123903.89,578
C100924759,138,1,163049.44,163049.44,668
C1009252910,185,1,1283.17,1283.17,621
C1009268266,188,1,6182.61,6182.61,618
C1009282267,348,1,1374699.44,1374699.44,458
C1009284554,455,1,16315.52,16315.52,351
C1009323570,178,1,10897.05,10897.05,628
C1009379848,275,1,125469.7,125469.7,531
C1009382352,225,1,84918.1,84918.1,581
C1009384074,330,1,414570.72,414570.72,476
C1009401061,133,1,219152.78,219152.78,673
C1009439503,141,1,107200.95,107200.95,665
C100945306,177,1,11877.46,11877.46,629
C1009507764,167,1,53832.5,53832.5,639
C1009518318,325,1,1360937.97,1360937.97,481
C1009520986,10,0,0.0,0.0,796
C1009540864,323,1,992.96,992.96,483
C1009543885,188,1,4410.55,4410.55,618
C1009545124,161,1,427779.9,427779.9,645
C1009602326,129,1,29128.66,29128.66,677
C1009605603,34,0,0.0,0.0,772
C1009608334,352,1,1142541.08,1142541.08,454
C1009617092,254,1,42242.07,42242.07,552
C1009632622,306,1,21237.22,21237.22,500
C1009650749,250,1,198474.26,198474.26,556
C1009658800,159,1,43658.34,43658.34,647
C1009664299,155,1,686030.85,686030.85,651
C1009667444,398,1,2479.45,2479.45,408
C1009725047,260,1,206111.03,206111.03,546
C1009732682,348,1,253474.45,253474.45,458
C1009756130,19,0,0.0,0.0,787
C100976386,374,1,16636.56,16636.56,432
C1009804263,419,5,48678.166754891805,9735.633350978362,387
C100981798,323,1,146262.05,146262.05,483
C1009847999,202,1,2921.45,2921.45,604
C1009852720,156,1,345544.18,345544.18,650
C1009875041,384,1,972.46,972.46,422
C1009877990,500,1,144836.18,144836.18,306
C1009905179,252,1,59442.55,59442.55,554
C1009920781,321,1,138604.43,138604.43,485
C1009930562,139,1,4974.35,4974.35,667
C1009995186,33,0,0.0,0.0,773
C1010006367,253,1,9678.99,9678.99,553
C1010023424,330,1,12559.16,12559.16,476
C1010039276,139,1,150700.78,150700.78,667
C1010042535,190,1,54754.02,54754.02,616
C10100743,306,1,264655.09,264655.09,500
C1010109161,254,1,208245.82,208245.82,552
C1010111782,279,1,196386.46,196386.46,527
C1010152249,14,0,0.0,0.0,792
C1010155007,237,1,256701.48,256701.48,569
C1010170427,250,1,270610.16,270610.16,556
C101018105,188,1,309770.2,309770.2,618
C1010204181,184,1,7316.97,7316.97,622
C1010238472,13,0,0.0,0.0,793
C1010245977,44,0,0.0,0.0,762
C1010252616,44,0,0.0,0.0,762
C1010265894,308,1,286337.25,286337.25,498
C1010282355,612,1,425534.99,425534.99,194
C1010288325,188,1,158466.17,158466.17,618
C1010296871,18,0,0.0,0.0,788
C1010327118,400,1,74887.06,74887.06,406
C1010375664,10,0,0.0,0.0,796
C1010375942,129,1,3675444.25,3675444.25,677
C1010387553,301,1,432732.15,432732.15,505
C1010397998,397,1,118021.18,118021.18,409
C1010416204,407,1,1998.4,1998.4,399
C101041765,395,1,46436.34,46436.34,411
C1010486316,187,1,248544.85,248544.85,619
C1010503471,718,1,55998.4,55998.4,88
C1010513759,356,1,94440.15,94440.15,450
C1010553379,419,3,9841.9507313958,3280.6502437986,387
C1010570508,18,0,0.0,0.0,788
C101057614,379,1,10874.64,10874.64,427
C1010592790,327,1,11391.92,11391.92,479
C1010627948,257,5,465352.80569985294,93070.56113997058,549
C1010633388,206,1,134213.66,134213.66,600
C101064576,203,1,176205.12,176205.12,603
C1010718829,135,1,186675.03,186675.03,671
C1010771045,8,0,0.0,0.0,798
C1010771556,354,1,173417.87,173417.87,452
C1010776356,178,1,233703.35,233703.35,628
C1010796696,43,0,0.0,0.0,763
C1010841066,393,4,289224.30359445896,72306.07589861474,413
C1010850385,573,1,119255.93,119255.93,233
C1010850582,259,1,8411.84,8411.84,547
C1010863763,216,1,9178.24,9178.24,590
C1010876266,252,1,36752.61,36752.61,554
C101088670,371,1,225728.11,225728.11,435
C1010899751,37,0,0.0,0.0,769
C1010933178,445,3,638485.3203925062,212828.4401308354,361
C1010942115,115,3,1809780.7560790456,603260.2520263485,691
C1010978260,204,1,20219.27,20219.27,602
C101099004,153,1,191353.81,191353.81,653
C1011011152,209,1,127708.62,127708.62,597
C1011031919,522,1,136606.8,136606.8,284
C1011068886,19,0,0.0,0.0,787
C1011107770,251,1,1030979.06,1030979.06,555
C1011111940,375,1,200245.39,200245.39,431
C1011118495,258,1,85285.47,85285.47,548
C1011123973,178,1,197978.23,197978.23,628
C101115463,500,1,284910.69,284910.69,306
C1011159372,282,1,17158.84,17158.84,524
C1011199893,129,1,10232.65,10232.65,677
C1011201006,369,1,213611.47,213611.47,437
C1011223384,278,1,10681.92,10681.92,528
C1011264718,372,1,5858.99,5858.99,434
C1011274604,205,1,394789.49,394789.49,601
C1011343292,304,1,1892.85,1892.85,502
C1011406396,399,1,30188.01,30188.01,407
C1011412713,46,0,0.0,0.0,760
C1011414795,335,1,740.0,740.0,471
C1011430646,347,1,74260.98,74260.98,459
C1011452129,8,0,0.0,0.0,798
C1011462347,323,1,420214.57,420214.57,483
C1011495657,304,1,19058.31,19058.31,502
C1011555741,563,1,189793.92,189793.92,243
C1011591191,260,1,266764.51,266764.51,546
C1011611196,21,0,0.0,0.0,785
C1011632582,156,1,50218.46,50218.46,650
C1011642994,283,1,172742.93,172742.93,523
C1011650286,281,1,5786.93,5786.93,525
C1011665365,329,5,607929.8783506171,121585.97567012343,477
C1011669660,36,0,0.0,0.0,770
C1011684915,139,1,3293.14,3293.14,667
C1011723574,132,1,41782.45,41782.45,674
C1011773418,299,1,446935.5,446935.5,507
C1011834240,40,0,0.0,0.0,766
C1011858221,36,0,0.0,0.0,770
C1011877389,160,1,39091.41,39091.41,646
C1011890652,133,1,1652.75,1652.75,673
C1011912873,398,1,1262.02,1262.02,408
C1011942508,282,4,632900.5838483336,158225.1459620834,524
C1011954820,228,1,264937.88,264937.88,578
C1011962503,690,1,8298.2,8298.2,116
C1011968793,18,0,0.0,0.0,788
