nameOrig,last_step,Frequency,MonetarySum,MonetaryAvg,Recency,R_Score,F_Score,M_Score,RFM_Total,Segment,isFraud_Actual,Anomaly_Score,Is_Anomaly
C681360352,304,1,10000000.0,10000000.0,502,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C666821803,304,1,10000000.0,10000000.0,502,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C262802246,304,1,10000000.0,10000000.0,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C640135187,327,1,10000000.0,10000000.0,479,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1308468721,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1463357002,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C532483190,305,1,10000000.0,10000000.0,501,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C957848782,376,1,10000000.0,10000000.0,430,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C979914764,304,1,10000000.0,10000000.0,502,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C132055315,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C144516018,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1459666935,305,1,10000000.0,10000000.0,501,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C422180575,304,1,10000000.0,10000000.0,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1874951604,624,1,10000000.0,10000000.0,182,4,3,4,11,Champions (핵심 VIP),1.0,-1,이상 거래 의심
C501494034,304,1,10000000.0,10000000.0,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C380224421,305,1,10000000.0,10000000.0,501,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1475595656,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C355683748,304,1,10000000.0,10000000.0,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1521023951,304,1,10000000.0,10000000.0,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C546529,671,1,10000000.0,10000000.0,135,4,4,4,12,Champions (핵심 VIP),1.0,-1,이상 거래 의심
C1321382527,327,1,10000000.0,10000000.0,479,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1918168281,305,1,9953488.63,9953488.63,501,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1705710123,327,1,9799982.55,9799982.55,479,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1505673083,327,1,9565220.77,9565220.77,479,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1318274525,326,1,9525163.64,9525163.64,480,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C661738489,422,5,9457787.28590732,1891557.4571814642,384,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C925459223,325,5,9424991.619593605,1884998.3239187212,481,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C808876017,327,1,9346852.72,9346852.72,479,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C638027021,300,1,9327439.47,9327439.47,506,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C756097515,684,1,9173555.28,9173555.28,122,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C355980520,376,1,9166131.1,9166131.1,430,4,3,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1212595142,328,1,9130150.59,9130150.59,478,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C1553294217,214,1,9089850.37,9089850.37,592,2,2,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C406938681,85,1,8924971.59,8924971.59,721,1,3,4,8,Potential (잠재 고객),1.0,-1,이상 거래 의심
C143927839,305,1,8895086.94,8895086.94,501,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1467813614,305,1,8704153.29,8704153.29,501,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C2040815325,441,3,8625179.972536463,2875059.990845488,365,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C546277701,186,1,8607089.62,8607089.62,620,2,4,4,10,Loyal (충성 고객),1.0,-1,이상 거래 의심
C674826107,327,1,8532130.88,8532130.88,479,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1259903050,304,1,8448964.26,8448964.26,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1867117052,424,5,8444496.867211577,1688899.3734423153,382,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1266625427,327,1,8434003.92,8434003.92,479,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C178548078,376,4,8380730.702412616,2095182.675603154,430,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C727850779,376,1,8377730.52,8377730.52,430,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C319695871,306,1,8301288.99,8301288.99,500,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1824376190,327,1,8297054.53,8297054.53,479,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C11424499,469,4,8291089.1694769645,2072772.2923692411,337,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C364617026,562,1,8208916.0,8208916.0,244,4,3,4,11,Champions (핵심 VIP),1.0,-1,이상 거래 의심
C1902966083,475,4,8172717.107293337,2043179.2768233342,331,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1131884196,662,3,8153284.499676044,2717761.4998920145,144,4,4,4,12,Champions (핵심 VIP),1.0,-1,이상 거래 의심
C916448510,393,1,8145175.97,8145175.97,413,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1768712425,684,1,8144221.35,8144221.35,122,4,2,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1206377872,278,5,8115587.5229617,1623117.50459234,528,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1342273804,304,1,8034257.11,8034257.11,502,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1693240595,469,5,7887478.255025643,1577495.6510051286,337,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1890861386,400,3,7826280.466110805,2608760.1553702685,406,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1318413702,443,5,7796513.233933919,1559302.6467867838,363,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1303680522,302,1,7752981.52,7752981.52,504,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C818804743,235,3,7672086.500381006,2557362.1667936686,571,2,4,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1054928489,371,4,7643842.355903899,1910960.5889759748,435,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1373375404,491,5,7623840.232035529,1524768.0464071059,315,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1674022362,303,1,7586655.97,7586655.97,503,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1311327004,328,1,7559367.58,7559367.58,478,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1643805659,305,1,7413746.52,7413746.52,501,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C981612685,310,1,7358052.5,7358052.5,496,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C599632710,612,1,7341776.31,7341776.31,194,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C365486265,427,4,7341484.067623245,1835371.0169058111,379,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1375439825,355,1,7326015.15,7326015.15,451,4,2,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C716064439,347,1,7304557.49,7304557.49,459,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1864776707,354,1,7254286.29,7254286.29,452,4,3,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C95828219,355,1,7235029.09,7235029.09,451,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1583905860,307,1,7196720.88,7196720.88,499,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C605092601,393,1,7162011.07,7162011.07,413,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C475304967,619,3,7011473.288457063,2337157.762819021,187,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1294485242,326,1,7007392.88,7007392.88,480,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1762709529,323,1,6829157.06,6829157.06,483,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C769165751,304,1,6818754.61,6818754.61,502,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1184348062,305,1,6742753.04,6742753.04,501,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C2092020109,370,5,6697231.614494582,1339446.3228989164,436,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C940062745,393,1,6670985.34,6670985.34,413,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1631686050,423,1,6664274.91,6664274.91,383,4,2,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C2116566397,230,5,6656695.655213909,1331339.1310427818,576,2,4,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C144713190,298,1,6647785.64,6647785.64,508,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1771072421,328,1,6617719.02,6617719.02,478,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1778803551,327,1,6599002.07,6599002.07,479,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C204871836,444,5,6545417.288240647,1309083.4576481294,362,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C145644656,202,4,6535829.431571083,1633957.3578927708,604,2,4,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1414672618,326,1,6526465.32,6526465.32,480,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C2041942844,469,1,6484526.8,6484526.8,337,4,3,4,11,Champions (핵심 VIP),1.0,-1,이상 거래 의심
C2137415383,327,1,6471251.93,6471251.93,479,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1324578446,370,1,6466949.3,6466949.3,436,4,2,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C225922828,308,1,6453393.24,6453393.24,498,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1682759421,382,3,6256555.89048579,2085518.6301619299,424,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1820961424,321,1,6159365.71,6159365.71,485,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C65270025,327,1,6149509.12,6149509.12,479,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C879250170,326,1,6103909.2,6103909.2,480,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1942661018,301,1,5930138.71,5930138.71,505,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1370564768,230,4,5909539.33946868,1477384.83486717,576,2,4,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C353236125,380,4,5884977.767149547,1471244.4417873868,426,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C992917413,131,3,5882217.305584299,1960739.1018614331,675,1,4,4,9,Loyal (충성 고객),1.0,-1,이상 거래 의심
C1115048048,308,5,5875016.920663396,1175003.384132679,498,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1699741793,450,5,5871333.517193509,1174266.7034387018,356,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C558619512,326,1,5851920.59,5851920.59,480,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1696347635,323,1,5849720.62,5849720.62,483,3,2,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1690513332,282,5,5845284.218525418,1169056.8437050837,524,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C20564446,325,4,5824028.134723069,1456007.0336807673,481,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C2124174776,225,4,5821700.643098387,1455425.1607745967,581,2,4,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1714493853,347,1,5806609.27,5806609.27,459,4,2,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1618122964,348,1,5780940.09,5780940.09,458,4,2,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C975510234,397,4,5772637.022364676,1443159.255591169,409,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C927311410,381,1,5680182.86,5680182.86,425,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C269752702,378,1,5652984.46,5652984.46,428,4,3,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1979388360,355,5,5630392.322808391,1126078.4645616782,451,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C378977338,538,1,5602958.5,5602958.5,268,4,3,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1208680876,303,1,5598516.51,5598516.51,503,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
C332369434,322,4,5520454.247260446,1380113.5618151114,484,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C546912901,354,1,5507754.31,5507754.31,452,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C302356472,405,1,5475722.81,5475722.81,401,4,3,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C325308957,304,1,5468064.11,5468064.11,502,3,3,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C706536982,304,1,5461569.09,5461569.09,502,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C838588150,401,1,5356319.56,5356319.56,405,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1877665965,514,1,5340297.63,5340297.63,292,4,3,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C128714557,594,1,5299264.61,5299264.61,212,4,2,4,10,Loyal (충성 고객),0.0,-1,이상 거래 의심
C762780706,305,1,5282257.2,5282257.2,501,3,4,4,11,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1099182890,347,1,5264192.09,5264192.09,459,4,1,4,9,Loyal (충성 고객),0.0,-1,이상 거래 의심
C1587558500,395,5,5262661.294550719,1052532.2589101437,411,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C820008788,644,1,5248882.22,5248882.22,162,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1772355534,380,5,5240105.83924646,1048021.167849292,426,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1164735194,379,4,5217586.2371403985,1304396.5592850996,427,4,4,4,12,Champions (핵심 VIP),0.0,-1,이상 거래 의심
C1073797723,327,1,5209888.38,5209888.38,479,3,1,4,8,Potential (잠재 고객),0.0,-1,이상 거래 의심
